Market,Currency,Marketing,Utility,Authentication,Authentication-International,Service,phone_code
Argentina,$US,0.0618,0.034,0.0367,0,0.0316,+54
Brazil,$US,0.0625,0.008,0.0315,0,0.03,+55
Chile,$US,0.0889,0.02,0.0527,0,0.0454,+56
Colombia,$US,0.0125,0.0002,0.0077,0,0.006,+57
Egypt,$US,0.1073,0.0052,0.0618,0,0.0644,+20
France,$US,0.1432,0.03,0.0691,0,0.0859,+33
Germany,$US,0.1365,0.055,0.0768,0,0.0819,+49
India,$US,0.0107,0.0014,0.0014,0.028,0.004,+91
Indonesia,$US,0.0411,0.02,0.03,0.136,0.019,+62
Israel,$US,0.0353,0.0053,0.0169,0,0.018,+972
Italy,$US,0.0691,0.03,0.0378,0,0.0386,+39
Malaysia,$US,0.086,0.014,0.018,0,0.022,+60
Mexico,$US,0.0436,0.01,0.0239,0,0.0105,+52
Netherlands,$US,0.1597,0.05,0.072,0,0.0891,+31
Nigeria,$US,0.0516,0.0067,0.0287,0,0.031,+234
Pakistan,$US,0.0473,0.0054,0.0228,0,0.0142,+92
Peru,$US,0.0703,0.02,0.0377,0,0.0179,+51
Russia,$US,0.0802,0.04,0.0429,0,0.0398,+7
Saudi Arabia,$US,0.0455,0.0115,0.0226,0,0.0195,+966
South Africa,$US,0.0379,0.0076,0.018,0,0.0168,+27
Spain,$US,0.0615,0.02,0.0342,0,0.0369,+34
Turkey,$US,0.0109,0.0053,0.0083,0,0.003,+90
United Arab Emirates,$US,0.0384,0.0157,0.0178,0,0.019,+971
United Kingdom,$US,0.0529,0.022,0.0358,0,0.0388,+44
North America,$US,0.025,0.004,0.0135,0,0.0088,"+509,+1246,+1758,+1242,+1849,+1441,+1,+1784,+1868,+1869,+1767,+1473,+345,+1876"
Rest of Africa,$US,0.0225,0.0061,0.0144,0,0.0363,"+212, +216, +27, +233, +213, +256, +221, +254"
Rest of Asia Pacific,$US,0.0732,0.0157,0.0425,0,0.0224,"+86, +66, +81, +65, +84, +64, +61, +63"
Rest of Central & Eastern Europe,$US,0.086,0.0353,0.0557,0,0.025,"+371,+420,+359,+385,+36,+48,+421,+386,+370,+40,+372"
Rest of Latin America,$US,0.074,0.0113,0.0445,0,0.0423,"+593, +595, +598"
Rest of Middle East,$US,0.0341,0.0157,0.0178,0,0.0218,"+961, +962, +967, +964"
Rest of Western Europe,$US,0.0592,0.03,0.0378,0,0.0397,"+358, +46, +32, +43, +45, +41, +47"
Other,$US,0.0604,0.0077,0.0304,0,0.0145,0
